Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
ribeye,Ribeye,"<p>Grass-finished ribeye raised on our family farm in Grayson County, Kentucky. Rich marbling and exceptional flavor. Final package price is based on weight.</p>",Long Branch Farms,Food Beverages & Tobacco > Food Items > Meat Seafood & Eggs > Meat > Beef,Beef,"beef, grass-finished, local",TRUE,Title,Default Title,LBF-BEEF-RIBEYE,454,,,deny,manual,22.00,TRUE,TRUE,FALSE,Ribeye | Long Branch Farms,Grass-finished local ribeye from Long Branch Farms.,lb,active
sirloin,Sirloin,"<p>Grass-finished sirloin with a versatile cut and bold beef flavor. Final package price is based on weight.</p>",Long Branch Farms,Food Beverages & Tobacco > Food Items > Meat Seafood & Eggs > Meat > Beef,Beef,"beef, grass-finished, local",TRUE,Title,Default Title,LBF-BEEF-SIRLOIN,454,,,deny,manual,15.00,TRUE,TRUE,FALSE,Sirloin | Long Branch Farms,Grass-finished local sirloin from Long Branch Farms.,lb,active
new-york-strip,New York Strip,"<p>Grass-finished New York strip with a tender bite and rich flavor. Final package price is based on weight.</p>",Long Branch Farms,Food Beverages & Tobacco > Food Items > Meat Seafood & Eggs > Meat > Beef,Beef,"beef, grass-finished, local",TRUE,Title,Default Title,LBF-BEEF-NYSTRIP,454,,,deny,manual,18.00,TRUE,TRUE,FALSE,New York Strip | Long Branch Farms,Grass-finished New York strip from Long Branch Farms.,lb,active
t-bone,T-Bone,"<p>Grass-finished T-bone with strip and tenderloin in one cut. Final package price is based on weight.</p>",Long Branch Farms,Food Beverages & Tobacco > Food Items > Meat Seafood & Eggs > Meat > Beef,Beef,"beef, grass-finished, local",TRUE,Title,Default Title,LBF-BEEF-TBONE,454,,,deny,manual,18.00,TRUE,TRUE,FALSE,T-Bone | Long Branch Farms,Grass-finished T-bone from Long Branch Farms.,lb,active
short-ribs,Short Ribs,"<p>Rich, meaty beef short ribs ideal for low and slow cooking. Final package price is based on weight.</p>",Long Branch Farms,Food Beverages & Tobacco > Food Items > Meat Seafood & Eggs > Meat > Beef,Beef,"beef, grass-finished, local",TRUE,Title,Default Title,LBF-BEEF-SHORTRIBS,454,,,deny,manual,11.00,TRUE,TRUE,FALSE,Short Ribs | Long Branch Farms,Grass-finished beef short ribs from Long Branch Farms.,lb,active
chuck-roast,Chuck Roast,"<p>A hearty grass-finished beef roast made for braising or the slow cooker. Final package price is based on weight.</p>",Long Branch Farms,Food Beverages & Tobacco > Food Items > Meat Seafood & Eggs > Meat > Beef,Beef,"beef, grass-finished, local",TRUE,Title,Default Title,LBF-BEEF-CHUCK,454,,,deny,manual,10.00,TRUE,TRUE,FALSE,Chuck Roast | Long Branch Farms,Grass-finished chuck roast from Long Branch Farms.,lb,active
sirloin-tip-roast,Sirloin Tip Roast,"<p>A lean grass-finished roast for a tender family meal. Final package price is based on weight.</p>",Long Branch Farms,Food Beverages & Tobacco > Food Items > Meat Seafood & Eggs > Meat > Beef,Beef,"beef, grass-finished, local",TRUE,Title,Default Title,LBF-BEEF-SIRLOINTIP,454,,,deny,manual,10.00,TRUE,TRUE,FALSE,Sirloin Tip Roast | Long Branch Farms,Grass-finished sirloin tip roast from Long Branch Farms.,lb,active
shoulder-roast,Shoulder Roast,"<p>Deep beef flavor and a tender finish when cooked slowly. Final package price is based on weight.</p>",Long Branch Farms,Food Beverages & Tobacco > Food Items > Meat Seafood & Eggs > Meat > Beef,Beef,"beef, grass-finished, local",TRUE,Title,Default Title,LBF-BEEF-SHOULDER,454,,,deny,manual,10.00,TRUE,TRUE,FALSE,Shoulder Roast | Long Branch Farms,Grass-finished shoulder roast from Long Branch Farms.,lb,active
ground-beef,Ground Beef,"<p>Lean, clean, locally processed ground beef from cattle raised on our farm.</p>",Long Branch Farms,Food Beverages & Tobacco > Food Items > Meat Seafood & Eggs > Meat > Beef,Beef,"beef, grass-finished, local",TRUE,Title,Default Title,LBF-BEEF-GROUND,454,,,deny,manual,8.50,TRUE,TRUE,FALSE,Ground Beef | Long Branch Farms,Local grass-finished ground beef from Long Branch Farms.,lb,active
bacon,Bacon,"<p>Pasture-raised bacon with no nitrates or additives. Currently sold out.</p>",Long Branch Farms,Food Beverages & Tobacco > Food Items > Meat Seafood & Eggs > Meat > Pork,Pork,"pork, pasture-raised, local",TRUE,Title,Default Title,LBF-PORK-BACON,454,shopify,0,deny,manual,8.00,TRUE,TRUE,FALSE,Bacon | Long Branch Farms,Pasture-raised local bacon from Long Branch Farms.,lb,active
